Control,baub-runr-2012,baub-runr-2013,baub-runr-2014,baub-runr-2015,baub-runr-2016,baub-runr-2017,baub-runr-2018,baub-runr-2019,baub-runr-2020,baub-runr-2021,baub-runr-2022,baub-runr-2023,baub-runr-2024,baub-runr-2025
Deviation,baub-runr-ag1p-2012,baub-runr-ag1p-2013,baub-runr-ag1p-2014,baub-runr-ag1p-2015,baub-runr-ag1p-2016,baub-runr-ag1p-2017,baub-runr-ag1p-2018,baub-runr-ag1p-2019,baub-runr-ag1p-2020,baub-runr-ag1p-2021,baub-runr-ag1p-2022,baub-runr-ag1p-2023,baub-runr-ag1p-2024,baub-runr-ag1p-2025
GDP2(NSW),0,463,1000,1597,2245,2936,3665,4430,5229,6060,6923,7819,8749,9715
GDP2(ROA),0,-271,-567,-874,-1182,-1488,-1792,-2092,-2388,-2682,-2974,-3265,-3555,-3846
EMP2(NSW),0,3246,6577,9977,13444,16980,20592,24284,28066,31948,35936,40039,44263,48618
EMP2(ROA),0,-1714,-3125,-4321,-5373,-6332,-7232,-8099,-8954,-9805,-10660,-11522,-12390,-13262
PCONS2(NSW),0,653,2431,4130,5770,7373,8958,10541,12135,13748,15390,17065,18777,20531
PCONS2(ROA),0,-383,-1809,-3102,-4296,-5423,-6508,-7569,-8622,-9677,-10740,-11818,-12915,-14034
GCONS2(NSW),0,74.3047,578.906,1061.3,1527.2,1982.5,2432.8,2882.8,3334.8,3793.8,4259.8,4734.8,5220.8,5718.8
GCONS2(ROA),0,-137,-647,-1109,-1536,-1938,-2325,-2703,-3077,-3452,-3831,-4215,-4606,-5004
VOA3(CROPS:NSW),0,-70.2905,-136.46,-199.081,-258.871,-316.561,-372.751,-427.941,-482.531,-536.84,-591.09,-645.451,-700.061,-754.961
VOA3(LSTK:NSW),0,-54.1001,-104.17,-150.959,-195.26,-237.75,-279,-319.47,-359.5,-399.35,-439.209,-479.199,-519.439,-559.979
VOA3(FF:NSW),0,-2.69299,-5.14099,-7.37299,-9.42499,-11.329,-13.111,-14.791,-16.383,-17.897,-19.3419,-20.7219,-22.0389,-23.2958
VOA3(COG:NSW),0,-33.7998,-64.8994,-93,-118.601,-141.9,-163.4,-183.4,-202.001,-219.501,-236.001,-251.601,-266.5,-280.7
VOA3(IRON:NSW),0,-62.4004,-121.5,-177.5,-231,-282.399,-332.099,-380.398,-427.599,-473.799,-519.1,-563.6,-607.399,-650.3
VOA3(FMAN:NSW),0,-147.801,-284.801,-412.301,-532.199,-646.402,-756.305,-863.305,-968.305,-1072.2,-1175.7,-1279.1,-1382.8,-1487
VOA3(LMAN:NSW),0,-166.6,-322.1,-468.4,-607.701,-741.9,-872.9,-1001.8,-1129.9,-1257.9,-1386.4,-1515.9,-1646.7,-1779.1
VOA3(HMAN:NSW),0,-865,-1690,-2479,-3239,-3975,-4695,-5404,-6106,-6804,-7500,-8195,-8891,-9586
VOA3(TRD:NSW),0,68,141,218,298,381,467,557,651,750,854,963,1078,1199
VOA3(TRN:NSW),0,-125.199,-240.098,-346.195,-445.395,-539.191,-628.785,-715.285,-799.582,-882.082,-963.285,-1043.29,-1122.49,-1200.69
VOA3(ELY:NSW),0,-33.2012,-61,-84.3008,-104.002,-120.803,-135.303,-148.002,-159.201,-169.002,-177.801,-185.502,-192.303,-198.201
VOA3(CNS:NSW),0,407,763,1067,1324,1543,1733,1903,2060,2209,2353,2497,2644,2796
VOA3(CMN:NSW),0,1.59961,6.80078,15.1016,25.9004,38.7988,53.2988,69.4004,86.8008,105.201,124.701,145.301,166.9,189.602
VOA3(OFI:NSW),0,-113.102,-204.305,-279.102,-341.805,-395.906,-443.805,-487.5,-528.102,-566.5,-603.398,-639.102,-673.797,-707.797
VOA3(ISR:NSW),0,-28.5996,-53.6992,-75.8994,-95.7988,-113.999,-131.1,-147.299,-162.999,-178.3,-193.4,-208.4,-223.4,-238.502
VOA3(OBS:NSW),0,-149,-276,-388,-490,-586,-678,-767,-853,-937,-1020,-1100,-1179,-1256
VOA3(REC:NSW),0,-5.5,-6.80078,-4.5,0.699219,8.40039,18.002,29.4023,42.3047,56.5039,72.0039,88.707,106.707,125.906
VOA3(OSG:NSW),0,1344,2710,4102,5522,6970,8446,9950,11483,13045,14636,16256,17905,19584
VOA3(DWE:NSW),0,93.6016,199.301,315,439,570.199,707.598,850.797,999.297,1153,1311.8,1475.7,1644.6,1818.91
VOA3(CGDS:NSW),0,967,1788,2480,3068,3577,4029,4440,4827,5199,5565,5932,6304,6686
VOA3(CROPS:ROA),0,25.3984,20.5977,-3.00391,-37.6035,-78.3027,-122.004,-167.004,-212.104,-257.004,-301.504,-345.404,-388.904,-432.004
VOA3(LSTK:ROA),0,17.2988,21.7988,18.1973,9.69727,-1.50195,-14.1016,-27.4023,-40.8027,-54.2031,-67.4023,-80.4023,-93.2031,-105.803
VOA3(FF:ROA),0,-0.30957,-2.09961,-4.70996,-7.74023,-10.9404,-14.1602,-17.3105,-20.3701,-23.3105,-26.1309,-28.8311,-31.3311,-33.7305
VOA3(COG:ROA),0,17,17.5938,8.78906,-4.8125,-20.8125,-37.4062,-53.8047,-69.6094,-84.7031,-99,-112.398,-125.203,-137.305
VOA3(IRON:ROA),0,38,36,10,-30,-77,-127,-178,-229,-278,-326,-373,-418,-461
VOA3(FMAN:ROA),0,37.1016,39.1016,18.7031,-15.6016,-57.8984,-104.602,-153.602,-203.602,-254.102,-304.602,-355.102,-405.703,-456.406
VOA3(LMAN:ROA),0,35.5,52.6016,57.8984,55.7969,49.3945,40.4922,30.293,19.5898,8.69141,-2.10938,-12.9102,-23.5117,-34.1094
VOA3(HMAN:ROA),0,58,2,-125,-293,-483,-686,-895,-1106,-1316,-1526,-1735,-1945,-2154
VOA3(TRD:ROA),0,-128,-241,-344,-440,-531,-619,-705,-790,-876,-963,-1051,-1140,-1231
VOA3(TRN:ROA),0,-19,-57,-106,-162,-221,-282,-345,-408,-471,-534,-598,-662,-727
VOA3(ELY:ROA),0,-0.402344,-10.0039,-25.2031,-43.7031,-64.1055,-85.4062,-107.109,-128.91,-150.711,-172.512,-194.312,-216.016,-237.816
VOA3(CNS:ROA),0,-567,-892,-1058,-1124,-1129,-1099,-1050,-992,-931,-869,-808,-747,-687
VOA3(CMN:ROA),0,-7.5,-17.0977,-27.8984,-39.3984,-51.2969,-63.2969,-75.5,-87.7031,-99.9023,-112.203,-124.605,-137.203,-149.902
VOA3(OFI:ROA),0,76.1953,142.297,201.102,255.102,306.102,355.102,404.102,452.102,501.102,551.102,601.102,653.102,706.102
VOA3(ISR:ROA),0,8.29883,13.5977,16.8984,18.998,20.2988,21.1973,21.8984,22.5977,23.2969,23.9961,24.7969,25.5957,26.4961
VOA3(OBS:ROA),0,8,36,76,124,177,233,290,349,410,472,535,599,666
VOA3(REC:ROA),0,-13.1992,-30.6992,-50.6992,-72.0977,-94.2969,-116.996,-139.996,-163.199,-186.602,-210.203,-234.102,-258.406,-283.008
VOA3(OSG:ROA),0,-82,-167,-253,-340,-428,-516,-604,-693,-783,-874,-967,-1061,-1158
VOA3(DWE:ROA),0,-44.5,-93.5,-146.5,-200.5,-255.5,-310.5,-365.5,-421.5,-477.5,-534.5,-591.5,-649.5,-708.5
VOA3(CGDS:ROA),0,-1196,-1971,-2467,-2786,-2996,-3144,-3259,-3359,-3454,-3550,-3650,-3755,-3864
GIND2(CROPS:NSW),0,-42.9199,-85.7998,-126.08,-164.33,-201.06,-236.71,-271.61,-306.04,-340.18,-374.19,-408.18,-442.22,-476.36
GIND2(LSTK:NSW),0,-22.75,-44.74,-65.1899,-84.48,-102.93,-120.79,-138.28,-155.53,-172.66,-189.75,-206.86,-224.03,-241.29
GIND2(FF:NSW),0,-0.841003,-4.04202,-7.12601,-10.136,-13.115,-16.102,-19.135,-22.2451,-25.4641,-28.817,-32.33,-36.028,-39.9351
GIND2(COG:NSW),0,-18.4902,-104.25,-187.32,-267.87,-346.45,-423.74,-500.4,-577.011,-654.111,-732.111,-811.312,-892.111,-974.512
GIND2(IRON:NSW),0,-38.8701,-110.19,-180.48,-250.26,-320.081,-390.461,-461.871,-534.731,-609.411,-686.251,-765.551,-847.591,-932.591
GIND2(FMAN:NSW),0,-28.0996,-81.5996,-131.398,-178.098,-222.398,-264.699,-305.598,-345.498,-384.697,-423.398,-461.699,-499.699,-537.598
GIND2(LMAN:NSW),0,-60.5996,-145.5,-225.9,-302.8,-377.1,-449.7,-521.2,-592.101,-662.901,-733.802,-805.202,-877.101,-949.601
GIND2(HMAN:NSW),0,-200.398,-499.898,-788.797,-1068.7,-1341.39,-1608.8,-1872.6,-2134.1,-2394.2,-2653.59,-2912.79,-3172.19,-3431.79
GIND2(TRD:NSW),0,32.5,91,154.203,221.406,292.406,367,445.5,527.906,614.5,705.5,801.195,901.797,1007.59
GIND2(TRN:NSW),0,-63.7988,-141.598,-214.898,-284.6,-351.4,-416.002,-479.002,-540.801,-601.701,-662.002,-721.902,-781.402,-840.5
GIND2(ELY:NSW),0,-19.7998,-45.7002,-70,-93.0996,-115.3,-136.7,-157.5,-177.9,-198.001,-217.801,-237.4,-256.7,-275.801
GIND2(CNS:NSW),0,162.902,353.602,517.199,656.5,775.801,880,973.301,1059.2,1140.8,1220.5,1300.1,1381.2,1464.89
GIND2(CMN:NSW),0,1,-0.799805,-1.7002,-1.7998,-1.19922,9.77E-04,1.70117,3.90039,6.5,9.59961,13.2998,17.5,22.2002
GIND2(OFI:NSW),0,-89.8008,-188.301,-273.703,-349.703,-418.906,-483.508,-545.008,-604.109,-661.707,-717.906,-773.211,-827.609,-881.312
GIND2(ISR:NSW),0,-14.3896,-30.0996,-43.5298,-55.1694,-65.4297,-74.6597,-83.1294,-91.0288,-98.5083,-105.688,-112.628,-119.378,-125.978
GIND2(OBS:NSW),0,-77.7969,-163.797,-241.797,-314.797,-384.398,-451.992,-518.094,-582.992,-646.789,-709.391,-770.789,-830.789,-889.188
GIND2(REC:NSW),0,0.900391,-1.90039,-3.00195,-2.60156,-0.900391,1.90039,5.69922,10.4004,15.9004,22.3008,29.5996,37.6992,46.5996
GIND2(OSG:NSW),0,867.602,2070.41,3296.11,4546.11,5820.81,7120.12,8443.12,9791.12,11164.1,12561.1,13983.1,15429.1,16901.1
GIND2(DWE:NSW),0,76.8984,133.797,191.695,250.492,310.492,371.992,435.293,500.793,568.691,639.391,713.09,790.09,870.59
GIND2(CROPS:ROA),0,15.3008,19.6006,13.6006,1.40039,-14.1992,-31.499,-49.499,-67.499,-85.3984,-102.898,-120.098,-136.897,-153.397
GIND2(LSTK:ROA),0,7.17969,13.6699,16.8105,17.8701,17.71,16.8896,15.75,14.5098,13.29,12.1299,11.0293,10.0293,9.12988
GIND2(FF:ROA),0,9.01E-02,-0.129883,-2.19995,-5.54004,-9.73999,-14.53,-19.7498,-25.2996,-31.1296,-37.2297,-43.6096,-50.2893,-57.3093
GIND2(COG:ROA),0,10.1992,48.5,50.1992,28.5,-7.30078,-51.5,-100.398,-151.598,-203.898,-256.703,-309.703,-362.805,-416
GIND2(IRON:ROA),0,25.2031,45,33.6953,2.19531,-42.2031,-94.6016,-152,-212.406,-274.805,-338.805,-403.805,-470.805,-539.805
GIND2(FMAN:ROA),0,2.69922,6.99609,2.19531,-8.20312,-21.9023,-37.4023,-53.8047,-70.5078,-87.4102,-104.312,-121.012,-137.711,-154.309
GIND2(LMAN:ROA),0,11.8008,23.4004,29,30.8008,30.3008,28.7012,26.4023,23.8027,21.1035,18.6035,16.2051,14.0039,11.9023
GIND2(HMAN:ROA),0,-5.90625,-18.9062,-57.1094,-110.406,-172.203,-238.5,-306.898,-376,-445,-513.703,-581.898,-649.703,-717.203
GIND2(TRD:ROA),0,-66,-152,-227,-295,-357,-415,-471,-525,-579,-633,-686,-740,-794
GIND2(TRN:ROA),0,-4.20312,-20.2031,-42.1016,-67.3008,-94.1016,-121.699,-149.5,-177.199,-204.898,-232.398,-259.797,-287.297,-314.602
GIND2(ELY:ROA),0,1.09961,-2.69922,-8.80078,-16.1992,-24.3984,-32.8984,-41.498,-50.0977,-58.5977,-67.0977,-75.498,-83.8984,-92.1992
GIND2(CNS:ROA),0,-234.797,-428.594,-532.594,-578.594,-589.594,-579.594,-557.594,-530.594,-500.594,-469.594,-438.594,-408.594,-378.594
GIND2(CMN:ROA),0,-3.89844,-9.79883,-15.0977,-19.8984,-24.3984,-28.5977,-32.5977,-36.498,-40.3984,-44.0977,-47.7988,-51.5977,-55.2969
GIND2(OFI:ROA),0,60,121.398,180.695,238.492,295.289,351.586,407.789,464.391,521.594,579.594,638.695,699,760.602
GIND2(ISR:ROA),0,3.10059,6.60059,9.00098,10.7012,12.001,13.001,13.9014,14.8008,15.7002,16.7002,17.8008,19.001,20.2012
GIND2(OBS:ROA),0,4,14,37,69,107,148,192,237,284,332,381,431,482
GIND2(REC:ROA),0,-8.40039,-19.8008,-31.4004,-43.1016,-54.6992,-66.0977,-77.5,-88.8008,-100,-111.199,-122.402,-133.801,-145.199
GIND2(OSG:ROA),0,-53,-136,-215,-291,-365,-437,-508,-578,-648,-718,-788,-858,-929
GIND2(DWE:ROA),0,-36.5,-80,-116.703,-148.703,-177.5,-204.297,-230,-255.203,-280.305,-305.305,-330.305,-356.305,-382.305
EIND2(CROPS:NSW),0,23.5996,-292.9,-590.801,-872.9,-1142.7,-1403.3,-1657.3,-1906.9,-2153.8,-2399.5,-2644.8,-2890.5,-3137.2
EIND2(LSTK:NSW),0,11,-154.5,-307.8,-451.3,-587.5,-718.4,-845.7,-970.7,-1094.4,-1217.6,-1340.8,-1464.4,-1588.8
EIND2(FF:NSW),0,1.18005,-7.25,-15.13,-22.5299,-29.5499,-36.2699,-42.7599,-49.09,-55.3,-61.42,-67.4801,-73.4901,-79.4801
EIND2(COG:NSW),0,9.7002,-50.6992,-107.8,-161.399,-211.899,-259.8,-305.6,-349.7,-392.4,-434.101,-474.9,-514.9,-554.4
EIND2(IRON:NSW),0,12.7998,-110,-227.7,-340.9,-450.4,-557.2,-661.9,-765.201,-867.601,-969.4,-1071,-1172.4,-1273.9
EIND2(FMAN:NSW),0,60,-356.699,-759.398,-1149.1,-1528.6,-1900.7,-2268.2,-2633.51,-2998.51,-3364.71,-3733.21,-4105.11,-4481.11
EIND2(LMAN:NSW),0,57.5,-502.301,-1041.7,-1564.61,-2075.41,-2578.51,-3077.91,-3576.71,-4077.52,-4582.32,-5092.72,-5610.02,-6135.11
EIND2(HMAN:NSW),0,160,-1897,-3896,-5842,-7746,-9620,-11475,-13319,-15161,-17006,-18858,-20720,-22594
EIND2(TRD:NSW),0,531,330,106,-138,-396,-663,-934,-1205,-1472,-1732,-1983,-2224,-2452
EIND2(TRN:NSW),0,169,-564,-1291,-2011,-2726,-3438,-4150,-4863,-5580,-6302,-7031,-7766,-8509
EIND2(ELY:NSW),0,28,-87.8008,-202.402,-315.803,-428.203,-540.104,-651.805,-763.605,-875.906,-988.906,-1102.61,-1217.3,-1333.11
EIND2(CNS:NSW),0,404,1498,2364,3001,3439,3714,3863,3918,3906,3848,3761,3659,3550
EIND2(CMN:NSW),0,39.2969,-28.2031,-96.7031,-165.906,-235.605,-305.805,-376.406,-447.504,-519.102,-591.301,-664,-737.199,-811
EIND2(OFI:NSW),0,281,-678,-1583,-2452,-3296,-4128,-4954,-5781,-6612,-7451,-8299,-9158,-10028
